IPO_Name,Date,Issue_Size,QIB,HNI,RII,Total,Issue_Price,Listing_Gain_Pct,Positive_Listing,Strong_Listing,Current_Gain_Pct,Cluster,Cluster_Name
RDB Rasayans Ltd,2011-10-07,35.55,0.0,0.75,3.96,1.5,79,7.59,1,0,113.92,0,"Retail-Driven
Weak Demand"
Onelife Capital Advisors Ltd,2011-10-17,36.85,1.02,0.93,2.5,1.53,110,4.55,1,0,-87.55,0,"Retail-Driven
Weak Demand"
Taksheel Solutions Ltd,2011-10-19,82.5,0.24,4.7,6.18,2.99,150,4.93,1,0,-97.83,0,"Retail-Driven
Weak Demand"
Flexituff Ventures International Ltd,2011-10-19,104.63,0.51,2.35,1.6,1.17,155,0.0,0,0,-85.29,0,"Retail-Driven
Weak Demand"
Ujaas Energy Ltd,2011-10-20,93.0,1.03,1.56,2.35,1.57,186,-3.23,0,0,89.62,0,"Retail-Driven
Weak Demand"
Vaswani Industries Ltd,2011-10-24,49.0,0.16,11.29,6.83,4.16,49,-31.73,0,0,7.86,0,"Retail-Driven
Weak Demand"
Indo Thai Securities Ltd,2011-11-02,29.6,0.0,0.02,3.35,1.18,74,1.35,1,0,129.86,0,"Retail-Driven
Weak Demand"
Multi Commodity Exchange of India Ltd,2012-03-09,663.31,49.12,150.35,24.14,54.13,1032,34.4,1,1,684.91,2,"Blockbuster
Demand Stars"
Olympic Cards Ltd,2012-03-28,24.75,0.0,3.44,1.36,0.99,30,-0.17,0,0,-90.0,0,"Retail-Driven
Weak Demand"
NBCC (India) Ltd,2012-04-12,124.97,7.07,1.7,3.4,4.93,106,-5.66,0,0,1.89,1,"Institutional
Heavyweights"
MT Educare Ltd,2012-04-12,99.0,6.01,8.0,2.17,4.8,80,7.56,1,0,-97.2,0,"Retail-Driven
Weak Demand"
Tribhovandas Bhimji Zaveri Ltd,2012-05-09,200.0,1.29,1.91,0.68,1.15,120,-4.17,0,0,60.38,0,"Retail-Driven
Weak Demand"
