IPO_Name,Issue_Size,QIB,HNI,RII,Total,Issue_Price,Listing_Gain_Pct,IPO_Quality_Score,Score_Category,Positive_Listing,Strong_Listing
Infinite Computer Solutions Limited,189.8,48.44,106.02,11.08,43.22,165,8.09,0.3130417747337549,Strong,1,0
Lovable Lingerie Ltd,93.28,21.87,99.87,20.84,35.21,205,27.56,0.31265096184421864,Strong,1,1
Scoda Tubes Limited,220.0,69.51,113.03,19.4,53.78,140,0.0,0.31038602953064703,Strong,0,0
Birla Shloka Edutech Limited,34.78,0.0,5.45,1.76,1.43,50,-2.0,0.3103214111342023,Strong,0,0
CARE Ratings Ltd,539.98,45.8,110.96,6.18,40.98,750,26.53,0.3090287625893787,Strong,1,1
Prataap Snacks Ltd,481.56,76.89,101.15,8.48,47.39,938,33.26,0.30722986825418125,Strong,1,1
Transrail Lighting Limited,838.91,201.06,76.41,22.07,80.8,432,35.45,0.3071659344986263,Strong,1,1
Bedmutha Industries Ltd,91.8,0.67,29.19,8.51,7.69,102,12.16,0.3068939778106088,Strong,1,0
Senco Gold Limited,405.0,180.94,64.99,15.46,73.35,317,35.96,0.3063339523529085,Strong,1,1
Music Broadcast Ltd,488.53,39.78,109.13,9.85,39.67,333,26.13,0.3062771547631452,Strong,1,1
Azad Engineering Limited,740.0,179.66,87.61,23.79,80.65,524,35.5,0.3062317923825388,Strong,1,1
Laxmi Dental Limited,698.06,110.38,147.95,76.24,114.42,428,23.36,0.3056252464683723,Strong,1,1
CSB Bank Ltd,409.68,62.18,164.68,44.53,86.93,195,41.03,0.3054164746554467,Strong,1,1
Va Tech Wabag Ltd,472.59,36.13,100.98,8.55,36.22,1310,26.34,0.3047639297779761,Strong,1,1
Happy Forgings Limited,1008.59,220.48,62.17,15.09,82.04,850,17.79,0.30452359232310805,Strong,1,1
Dam Capital Advisors Limited,840.25,166.33,98.62,27.13,82.08,283,38.83,0.30416923533611495,Strong,1,1
Pradip Overseas Limited,116.6,8.57,45.35,10.53,14.08,110,9.09,0.3038265675817984,Strong,1,0
Polycab India Ltd,1345.26,92.44,110.42,4.65,51.96,538,17.66,0.30341402799317596,Strong,1,1
ESL Steel Ltd,248.07,5.86,28.58,6.19,8.23,11,12.27,0.3027851955091003,Strong,1,0
CP Capital Ltd,115.0,47.45,101.93,31.74,47.39,310,48.71,0.3021982704891474,Strong,1,1
Clean Science and Technology Limited,1546.62,70.31,110.28,5.71,46.57,900,98.27,0.29769159032224324,Strong,1,1
Electronics Mart India,500.0,169.54,63.59,19.72,71.93,59,51.53,0.2973296733361712,Strong,1,1
Olympic Cards Ltd,24.75,0.0,3.44,1.36,0.99,30,-0.17,0.2969502335152481,Strong,0,0
Krystal Integrated Services Ltd ,300.12,7.33,43.91,3.32,13.21,715,11.19,0.29682427089778407,Strong,1,0
Abans Financial Services Limited,345.6,4.1,1.48,0.4,1.1,270,0.0,0.2967008618336895,Strong,0,0
IKIO Technologies Limited (formerly IKIO Lighting Limited),606.5,163.58,63.35,13.86,66.3,285,37.19,0.29647441389587936,Strong,1,1
Udayshivakumar Infosolutions Limited,66.0,40.47,60.42,14.1,30.63,35,0.0,0.29637598563794804,Strong,0,0
Anupam Rasayan India Limited,760.0,65.74,97.42,10.77,44.06,555,-3.66,0.29578053963657014,Strong,0,0
